id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	2	0	0	59	36	23	59	23	0
2	0	74	74	169	43	52	95	52	0
3	0	241	241	245	4	0	4	0	0
4	0	321	321	323	2	0	2	0	0
5	0	381	381	388	7	0	7	0	0
6	0	659	659	662	3	0	3	0	0
7	0	679	679	703	22	2	24	2	0
8	2	1002	1002	1082	47	33	80	33	0
9	0	1278	1278	1285	5	2	7	2	0
11	0	1646	1646	1653	7	0	7	0	0
10	0	1645	1645	1666	14	0	21	7	0
12	0	1672	1672	1735	27	36	63	36	0
13	0	1745	1745	1773	9	19	28	19	0
14	0	2321	2321	2322	1	0	1	0	0
15	1	2387	2387	2417	30	0	30	0	0
16	0	3013	3013	3020	7	0	7	0	0
17	0	3108	3108	3118	10	0	10	0	0
18	0	3328	3328	3339	9	2	11	2	0
19	0	3420	3420	3438	18	0	18	0	0
20	0	3758	3758	3808	22	28	50	28	0
22	0	4080	4080	4101	17	4	21	4	0
21	4	3988	3988	4111	66	40	123	57	0
23	0	4219	4219	4230	11	0	11	0	0
25	1	4415	4415	4438	23	0	23	0	0
24	1	4400	4400	4448	25	0	48	23	0
26	2	4420	4448	4494	28	18	74	46	28
27	1	4536	4536	4566	30	0	30	0	0
28	0	4738	4738	4745	7	0	7	0	0
29	0	4791	4791	4804	3	10	13	10	0
30	1	4944	4944	4983	29	10	39	10	0
31	0	5004	5004	5028	12	12	24	12	0
32	0	5056	5056	5057	1	0	1	0	0
33	1	5085	5085	5144	53	6	59	6	0
34	0	5153	5153	5155	2	0	2	0	0
35	0	5347	5347	5356	6	3	9	3	0
36	0	5367	5367	5376	9	0	9	0	0
37	3	5538	5538	5639	65	36	101	36	0
38	0	5881	5881	5975	25	69	94	69	0
39	2	5974	5975	6037	37	25	63	26	1
41	1	6122	6122	6154	32	0	32	0	0
40	4	6065	6065	6162	63	2	97	34	0
42	3	6267	6267	6325	36	11	58	22	0
43	0	6279	6279	6448	50	119	169	119	0
44	0	6826	6826	6835	9	0	9	0	0
45	3	7034	7034	7101	60	7	67	7	0
46	2	7625	7625	7667	42	0	42	0	0
47	1	7753	7753	7830	63	14	77	14	0
48	1	7916	7916	8016	52	48	100	48	0
49	0	8049	8049	8150	51	50	101	50	0
50	5	8114	8117	8222	61	22	108	47	3
0	0	0	0	8222	6931	0	8222	1291	0
